image_name,target
ISIC_0052060,0.12352599
ISIC_0052349,0.047090083
ISIC_0058510,0.03720526
ISIC_0073313,0.051570605
ISIC_0073502,0.17470586
ISIC_0074618,0.13135454
ISIC_0076801,0.14251597
ISIC_0077586,0.18006127
ISIC_0082004,0.12130811
ISIC_0082785,0.19209221
ISIC_0085332,0.029409986
ISIC_0087243,0.07745604
ISIC_0088167,0.08878712
ISIC_0089356,0.050912768
ISIC_0090283,0.1761151
ISIC_0092481,0.08408444
ISIC_0095455,0.12955122
ISIC_0095790,0.04172408
ISIC_0097719,0.3101197
ISIC_0099348,0.23155478
ISIC_0101040,0.09740271
ISIC_0101383,0.11287701
ISIC_0105104,0.26930833
ISIC_0108196,0.13067007
ISIC_0112420,0.6058514
ISIC_0114232,0.03680685
ISIC_0115798,0.1476884
ISIC_0116844,0.049664266
ISIC_0126432,0.13113514
ISIC_0131485,0.061232824
ISIC_0131912,0.055555016
ISIC_0131978,0.081848316
ISIC_0139322,0.18030612
ISIC_0142066,0.10880456
ISIC_0143109,0.114314295
ISIC_0148210,0.1608125
ISIC_0148937,0.13445985
ISIC_0150213,0.0779365
ISIC_0152553,0.016895015
ISIC_0153127,0.14114444
ISIC_0154289,0.11533694
ISIC_0155813,0.27700177
ISIC_0155983,0.45553336
ISIC_0157088,0.15467903
ISIC_0158761,0.066553146
ISIC_0161963,0.15039667
ISIC_0165178,0.18510395
ISIC_0165230,0.17838195
ISIC_0165615,0.037312884
ISIC_0165617,0.16710618
ISIC_0165674,0.05703746
ISIC_0165928,0.1216951
ISIC_0166561,0.055868786
ISIC_0168125,0.22387128
ISIC_0169378,0.12948363
ISIC_0169575,0.06914483
ISIC_0169906,0.42832866
ISIC_0171865,0.437661
ISIC_0172678,0.04689116
ISIC_0174800,0.088957205
ISIC_0175014,0.17189525
ISIC_0175798,0.2586128
ISIC_0176152,0.20023778
ISIC_0177083,0.11291971
ISIC_0178235,0.43904132
ISIC_0178258,0.14089803
ISIC_0178428,0.22437783
ISIC_0178741,0.25750208
ISIC_0180057,0.15759543
ISIC_0182213,0.46696252
ISIC_0183334,0.06174413
ISIC_0183449,0.40017423
ISIC_0183658,0.0473165
ISIC_0183771,0.109445594
ISIC_0186715,0.3070764
ISIC_0187786,0.08364239
ISIC_0188485,0.11065445
ISIC_0191895,0.34117618
ISIC_0192184,0.15741678
ISIC_0192807,0.040332682
ISIC_0193289,0.29797256
ISIC_0194115,0.13308974
ISIC_0195744,0.12792921
ISIC_0195995,0.084345214
ISIC_0196159,0.30949396
ISIC_0196622,0.07863046
ISIC_0196807,0.15878165
ISIC_0197182,0.11924215
ISIC_0197440,0.1928263
ISIC_0197860,0.3175945
ISIC_0198376,0.051720254
ISIC_0198622,0.0750067
ISIC_0199195,0.10994253
ISIC_0199718,0.058622044
ISIC_0199780,0.07563386
ISIC_0200120,0.5488976
ISIC_0204399,0.06271312
ISIC_0204875,0.09517732
ISIC_0205627,0.07090505
ISIC_0206261,0.09806399
ISIC_0206934,0.27763286
ISIC_0207197,0.21286568
ISIC_0208233,0.28659484
ISIC_0209640,0.078238115
ISIC_0210915,0.14601138
ISIC_0212435,0.07260682
ISIC_0212468,0.09095819
ISIC_0213848,0.06841659
ISIC_0216203,0.1271683
ISIC_0216447,0.5557239
ISIC_0220438,0.50996584
ISIC_0220466,0.10135053
ISIC_0223354,0.14518718
ISIC_0223463,0.24577972
ISIC_0223760,0.042805534
ISIC_0224309,0.110537544
ISIC_0225471,0.11908893
ISIC_0225894,0.19707286
ISIC_0226234,0.09588371
ISIC_0227767,0.02122215
ISIC_0228452,0.11813642
ISIC_0229266,0.14390984
ISIC_0230247,0.10685085
ISIC_0230499,0.18864134
ISIC_0231539,0.20589519
ISIC_0231788,0.11498292
ISIC_0232763,0.2607955
ISIC_0235107,0.18745
ISIC_0235501,0.3392779
ISIC_0235505,0.34884867
ISIC_0235542,0.094925396
ISIC_0238185,0.052122552
ISIC_0238872,0.3864045
ISIC_0239635,0.19357893
ISIC_0240839,0.022908758
ISIC_0241566,0.38209182
ISIC_0243686,0.18884301
ISIC_0243937,0.09218886
ISIC_0244266,0.07577556
ISIC_0244465,0.11305152
ISIC_0244617,0.10555339
ISIC_0244885,0.05111908
ISIC_0245273,0.27351534
ISIC_0246008,0.026336689
ISIC_0246211,0.1282731
ISIC_0248702,0.086153455
ISIC_0251455,0.23500672
ISIC_0251656,0.22539906
ISIC_0252811,0.20557635
ISIC_0254594,0.047017902
ISIC_0255112,0.077422254
ISIC_0256267,0.045050807
ISIC_0258149,0.18884069
ISIC_0258489,0.05988113
ISIC_0258717,0.16850778
ISIC_0259209,0.44270626
ISIC_0259237,0.14722426
ISIC_0261866,0.123431005
ISIC_0261904,0.07405923
ISIC_0261907,0.052265756
ISIC_0262392,0.1760128
ISIC_0262492,0.12495019
ISIC_0263920,0.10550547
ISIC_0265011,0.075348854
ISIC_0267082,0.108653024
ISIC_0268025,0.07758734
ISIC_0268451,0.17113274
ISIC_0269476,0.051523697
ISIC_0270022,0.10134734
ISIC_0270367,0.12334218
ISIC_0271223,0.11133514
ISIC_0272190,0.06434994
ISIC_0273533,0.13360178
ISIC_0274458,0.29296994
ISIC_0274698,0.20017341
ISIC_0274789,0.6315137
ISIC_0276718,0.07039305
ISIC_0280382,0.07183914
ISIC_0280752,0.0728178
ISIC_0280782,0.33609256
ISIC_0280827,0.20860787
ISIC_0281227,0.21282592
ISIC_0282269,0.07466323
ISIC_0282486,0.10945909
ISIC_0282737,0.06632857
ISIC_0284147,0.041891895
ISIC_0284441,0.18424362
ISIC_0284485,0.056790758
ISIC_0285491,0.13295387
ISIC_0285697,0.14228265
ISIC_0286688,0.108113505
ISIC_0287132,0.07575222
ISIC_0287325,0.608291
ISIC_0288225,0.08958719
ISIC_0290187,0.04824791
ISIC_0291705,0.028123617
ISIC_0292996,0.26970166
ISIC_0294150,0.21047981
ISIC_0296540,0.07842628
ISIC_0297539,0.148521
ISIC_0297702,0.11577134
ISIC_0298417,0.2986854
ISIC_0299870,0.22681013
ISIC_0300002,0.097774334
ISIC_0301547,0.2541009
ISIC_0301769,0.09330592
ISIC_0304467,0.07344778
ISIC_0304666,0.07517265
ISIC_0304667,0.28460503
ISIC_0306094,0.13298745
ISIC_0307004,0.31882808
ISIC_0307411,0.13031459
ISIC_0309192,0.20277874
ISIC_0309503,0.17390701
ISIC_0310320,0.33868152
ISIC_0311235,0.4140153
ISIC_0311814,0.07930295
ISIC_0312717,0.0245399
ISIC_0313675,0.07245718
ISIC_0317285,0.11728014
ISIC_0318934,0.06007858
ISIC_0319131,0.050989397
ISIC_0319990,0.14671144
ISIC_0320662,0.030753994
ISIC_0321218,0.11066232
ISIC_0321906,0.11239698
ISIC_0321948,0.12043679
ISIC_0322514,0.25520885
ISIC_0327756,0.3630116
ISIC_0328346,0.09890145
ISIC_0328687,0.13722992
ISIC_0328823,0.07826223
ISIC_0329169,0.13898751
